"SYSTEM", "1", "SYSTEM", "System Start", " "
"main", "2", "SYSTEM", "Thread Start", " main (1)"
"main", "3", "SYSTEM", "Type Load", " class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", " class=jdk.internal.util.EnvUtils"
"main", "5", "SYSTEM", "Method Call", " caller=SYSTEM, target=Lsun/misc/PostVMInitHook;.trackJavaUsage()"
"main", "6", "SYSTEM", "Method Call", " caller=Lsun/misc/PostVMInitHook;.trackJavaUsage(), target=Lsun/misc/PostVMInitHook;.trackJavaUsage()"
"main", "7", "SYSTEM", "Method Call", " caller=Lsun/misc/PostVMInitHook;.trackJavaUsage(), target=Lsun/misc/PostVMInitHook;.getConfigFilePrivileged()"
"main", "8", "SYSTEM", "Method Call", " caller=Lsun/misc/PostVMInitHook;.getConfigFilePrivileged(), target=Lsun/misc/PostVMInitHook;.getOSSpecificConfigFilePath()"
"main", "9", "SYSTEM", "Method Call", " caller=Lsun/misc/PostVMInitHook;.getOSSpecificConfigFilePath(), target=Lsun/misc/PostVMInitHook;.getEnvPrivileged(Ljava/lang/String;)"
"main", "10", "SYSTEM", "Method Call", " caller=Lsun/misc/PostVMInitHook;.getEnvPrivileged(Ljava/lang/String;), target=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;)"
"main", "11", "SYSTEM", "Method Call", " caller=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;), target=Lsun/misc/PostVMInitHook$2;.run() <BRIDGE>"
"main", "12", "SYSTEM", "Method Call", " caller=Lsun/misc/PostVMInitHook$2;.run() <BRIDGE>, target=Lsun/misc/PostVMInitHook$2;.run() <BRIDGE>"
"main", "13", "SYSTEM", "Method Call", " caller=Lsun/misc/PostVMInitHook$2;.run() <BRIDGE>, target=jdk.internal.util.EnvUtils#getEnvVar:1"
"main", "14", "SYSTEM", "Method Entered", " "
"main", "15", "SYSTEM", "Variable Write", " context=jdk.internal.util.EnvUtils#getEnvVar:1, result=""C:\ProgramData"""
"main", "16", "SYSTEM", "Method Exit", " returner=jdk.internal.util.EnvUtils#getEnvVar:1, value=""C:\ProgramData"""
"main", "17", "SYSTEM", "Method Exit", " returner=Lsun/misc/PostVMInitHook$2;.run() <BRIDGE>, value=<void>"
"main", "18", "SYSTEM", "Method Exit", " returner=Lsun/misc/PostVMInitHook$2;.run() <BRIDGE>, value=<void>"
"main", "19", "SYSTEM", "Method Exit", " returner=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;), value=<void>"
"main", "20", "SYSTEM", "Method Exit", " returner=Lsun/misc/PostVMInitHook;.getEnvPrivileged(Ljava/lang/String;), value=<void>"
"main", "21", "SYSTEM", "Method Exit", " returner=Lsun/misc/PostVMInitHook;.getOSSpecificConfigFilePath(), value=<void>"
"main", "22", "SYSTEM", "Method Exit", " returner=Lsun/misc/PostVMInitHook;.getConfigFilePrivileged(), value=<void>"
"main", "23", "SYSTEM", "Method Call", " caller=Lsun/misc/PostVMInitHook;.trackJavaUsage(), target=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;)"
"main", "24", "SYSTEM", "Method Call", " caller=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;), target=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;)"
"main", "25", "SYSTEM", "Method Call", " caller=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;), target=Lsun/usagetracker/UsageTrackerClient$4;.run() <BRIDGE>"
"main", "26", "SYSTEM", "Method Call", " caller=Lsun/usagetracker/UsageTrackerClient$4;.run() <BRIDGE>, target=Lsun/usagetracker/UsageTrackerClient$4;.run() <BRIDGE>"
"main", "27", "SYSTEM", "Method Call", " caller=Lsun/usagetracker/UsageTrackerClient$4;.run() <BRIDGE>, target=Lsun/usagetracker/UsageTrackerClient;.access$000(Lsun/usagetracker/UsageTrackerClient;J) <SYNTHETIC>"
"main", "28", "SYSTEM", "Method Call", " caller=Lsun/usagetracker/UsageTrackerClient;.access$000(Lsun/usagetracker/UsageTrackerClient;J) <SYNTHETIC>, target=Lsun/usagetracker/UsageTrackerClient;.setupAndTimestamp(J)"
"main", "29", "SYSTEM", "Method Call", " caller=Lsun/usagetracker/UsageTrackerClient;.setupAndTimestamp(J), target=Lsun/usagetracker/UsageTrackerClient;.getConfigFilePrivileged()"
"main", "30", "SYSTEM", "Method Call", " caller=Lsun/usagetracker/UsageTrackerClient;.getConfigFilePrivileged(), target=Lsun/usagetracker/UsageTrackerClient;.getOSSpecificConfigFilePath()"
"main", "31", "SYSTEM", "Method Call", " caller=Lsun/usagetracker/UsageTrackerClient;.getOSSpecificConfigFilePath(), target=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;)"
"main", "32", "SYSTEM", "Method Call", " caller=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;), target=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;)"
"main", "33", "SYSTEM", "Method Call", " caller=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;), target=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>"
"main", "34", "SYSTEM", "Method Call", " caller=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>, target=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>"
"main", "35", "SYSTEM", "Method Returned", " "
"main", "36", "SYSTEM", "Method Call", " caller=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>, target=jdk.internal.util.EnvUtils#getEnvVar:2"
"main", "37", "SYSTEM", "Method Entered", " "
"main", "38", "SYSTEM", "Variable Write", " context=jdk.internal.util.EnvUtils#getEnvVar:2, result=""C:\Program Files"""
"main", "39", "SYSTEM", "Method Exit", " returner=jdk.internal.util.EnvUtils#getEnvVar:2, value=""C:\Program Files"""
"main", "40", "SYSTEM", "Method Exit", " returner=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>, value=<void>"
"main", "41", "SYSTEM", "Method Exit", " returner=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>, value=<void>"
"main", "42", "SYSTEM", "Method Exit", " returner=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;), value=<void>"
"main", "43", "SYSTEM", "Method Exit", " returner=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;), value=<void>"
"main", "44", "SYSTEM", "Method Exit", " returner=Lsun/usagetracker/UsageTrackerClient;.getOSSpecificConfigFilePath(), value=<void>"
"main", "45", "SYSTEM", "Method Exit", " returner=Lsun/usagetracker/UsageTrackerClient;.getConfigFilePrivileged(), value=<void>"
"main", "46", "SYSTEM", "Method Call", " caller=Lsun/usagetracker/UsageTrackerClient;.setupAndTimestamp(J), target=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;)"
"main", "47", "SYSTEM", "Method Call", " caller=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;), target=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;)"
"main", "48", "SYSTEM", "Method Call", " caller=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;), target=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;)"
"main", "49", "SYSTEM", "Method Call", " caller=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;), target=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>"
"main", "50", "SYSTEM", "Method Call", " caller=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>, target=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>"
"main", "51", "SYSTEM", "Method Returned", " "
"main", "52", "SYSTEM", "Method Call", " caller=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>, target=jdk.internal.util.EnvUtils#getEnvVar:3"
"main", "53", "SYSTEM", "Method Entered", " "
"main", "54", "SYSTEM", "Variable Write", " context=jdk.internal.util.EnvUtils#getEnvVar:3, result=""C:\ProgramData"""
"main", "55", "SYSTEM", "Method Exit", " returner=jdk.internal.util.EnvUtils#getEnvVar:3, value=""C:\ProgramData"""
"main", "56", "SYSTEM", "Type Load", " class=DiningProgramers"
"main", "57", "DiningProgramers.java:6", "Method Exit", " returner=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>, value=<void>"
"main", "58", "DiningProgramers.java:6", "Method Exit", " returner=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>, value=<void>"
"main", "59", "DiningProgramers.java:6", "Method Exit", " returner=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;), value=<void>"
"main", "60", "DiningProgramers.java:6", "Method Exit", " returner=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;), value=<void>"
"main", "61", "DiningProgramers.java:6", "Method Exit", " returner=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;), value=<void>"
